timestamp,kind,country,as_of_date,horizon_days,predicted_revenue_next_30d,model_family,model_trained_at,drift_detected,duration_seconds,actual_revenue_next_30d,error,abs_pct_error
2026-07-24T21:18:19.770885+00:00,predict,EIRE,2019-08-01,30,2338.75,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.31,4085.6600000000008,-1746.9100000000008,42.75710656295434
2026-07-24T21:18:40.196439+00:00,predict,EIRE,2019-08-02,30,2237.06,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.289,3587.78,-1350.7200000000003,37.6477933429586
2026-07-24T21:18:40.689989+00:00,predict,EIRE,2019-08-03,30,2619.97,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.017,3745.9,-1125.9300000000003,30.05766304492913
2026-07-24T21:18:41.168374+00:00,predict,EIRE,2019-08-04,30,2696.8,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.021,4031.4000000000005,-1334.6000000000004,33.10512477055118
2026-07-24T21:18:41.516640+00:00,predict,EIRE,2019-08-05,30,7358.79,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.021,4473.710000000001,2885.079999999999,64.48965176553685
2026-07-24T21:18:43.368300+00:00,predict,EIRE,2019-08-06,30,7379.49,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.054,4857.13,2522.3599999999997,51.93107864109051
2026-07-24T21:18:43.941687+00:00,predict,EIRE,2019-08-07,30,5631.85,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.017,3695.2300000000005,1936.62,52.40864574058989
2026-07-24T21:19:30.796255+00:00,predict,EIRE,2019-08-08,30,4293.87,hist_gbm,2026-07-24T21:19:09.146776+00:00,False,0.436,3578.95,714.9200000000001,19.975691194344712
2026-07-24T21:19:32.543836+00:00,predict,EIRE,2019-08-09,30,4104.33,hist_gbm,2026-07-24T21:19:09.146776+00:00,False,0.02,3337.2300000000005,767.0999999999995,22.986129214947706
2026-07-24T21:19:33.116795+00:00,predict,EIRE,2019-08-10,30,3956.59,hist_gbm,2026-07-24T21:19:09.146776+00:00,False,0.136,3337.2300000000005,619.3599999999997,18.559104406948265
2026-07-24T21:19:33.501738+00:00,predict,EIRE,2019-08-11,30,4008.54,hist_gbm,2026-07-24T21:19:09.146776+00:00,False,0.018,2902.7200000000003,1105.8199999999997,38.09599272406569
2026-07-24T21:19:33.909618+00:00,predict,EIRE,2019-08-12,30,5708.4,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.031,2967.71,2740.6899999999996,92.35033072638498
2026-07-24T21:19:34.353653+00:00,predict,EIRE,2019-08-13,30,2519.6,hist_gbm,2026-07-24T21:17:57.397233+00:00,False,0.018,3114.47,-594.8699999999999,19.100200034034682
2026-07-24T21:19:34.615615+00:00,predict,EIRE,2019-08-14,30,2639.22,hist_gbm,2026-07-24T21:19:09.146776+00:00,False,0.017,2819.53,-180.3100000000004,6.3950374707841515
2026-07-24T21:20:20.834634+00:00,predict,EIRE,2019-08-15,30,2664.22,hist_gbm,2026-07-24T21:19:59.370226+00:00,True,0.157,2731.16,-66.94000000000005,2.4509732128472903
2026-07-24T21:20:22.199978+00:00,predict,EIRE,2019-08-16,30,2796.51,hist_gbm,2026-07-24T21:19:59.370226+00:00,False,0.018,2603.6600000000003,192.8499999999999,7.406881082783462
2026-07-24T21:20:22.439663+00:00,predict,EIRE,2019-08-17,30,2590.06,hist_gbm,2026-07-24T21:19:59.370226+00:00,False,0.015,2728.96,-138.9000000000001,5.089851078799253
2026-07-24T21:20:22.658662+00:00,predict,EIRE,2019-08-18,30,4934.4,hist_gbm,2026-07-24T21:19:59.370226+00:00,False,0.016,2922.4000000000005,2011.999999999999,68.84752258417734
2026-07-24T21:20:22.889119+00:00,predict,EIRE,2019-08-19,30,4526.91,hist_gbm,2026-07-24T21:19:59.370226+00:00,False,0.019,3160.2000000000007,1366.7099999999991,43.24757926713495
